TMB,H2O2,predicted_value,uncertainty_std
1,0.020632004,10319.38067,270.233724
1,0.022412897,10299.89828,356.6127744
1,0.018477856,10227.25987,166.9671642
1,0.025557922,10131.44132,491.6306916
0.829778131,0.18035696,7758.164041,139.0891863
0.947349265,0.518191498,5361.098985,734.4945751
0.001677904,0.99059556,4584.00402,821.4888187
0.001396276,0.001644229,4567.658687,392.8546783
0.092431247,0.034724332,4522.371342,244.1860384
0.006571649,0.007267454,4453.964952,192.5226039
0.071854007,0.05500875,4411.44439,115.8416826
0.063870821,0.069000072,4381.174884,172.4836835
0.057054851,0.082174657,4339.408268,230.511198
0.025937564,0.011409109,4335.630528,129.2875966
0.188504971,0.336267544,4318.47767,273.1624549
0.106918912,0.007505768,4274.710852,178.9826004
0.001945954,0.593197734,4259.454997,345.7354119
0.006272691,0.004895935,4254.501325,267.8879344
0.060303119,0.013486687,4126.610296,232.3924275
0.002910648,0.001984238,4119.160461,216.7767714
0.004672807,0.641297797,4009.436313,175.0063486
0.001416833,0.118259908,3991.33037,453.1769436
0.702355493,0.002690483,3989.518118,346.1206288
0.005483037,0.525449388,3932.943168,384.3084459
0.009547218,0.131763883,3929.344018,125.9956299
0.659944023,0.002832603,3918.782536,332.2318391
0.449232877,0.002828959,3916.000098,275.2583927
0.009311068,0.378220605,3879.276514,526.9206632
0.448039092,0.002941732,3872.574947,295.2959599
0.007304297,0.001401918,3852.588354,339.1692306
0.00332266,0.042087235,3820.605927,193.9908168
0.006662191,0.22436912,3764.196907,466.3147856
