TMB,H2O2,predicted_value,uncertainty_std,,TMB,H2O2,predicted_value,uncertainty_std
0.786447497,0.128216485,11463.78305,926.1781741,,0.724608817,0.108322902,11322.9165,772.3464384
0.731632135,0.119085829,11459.22442,724.0057545,,0.883987775,0.110424904,10879.47844,1376.296627
0.768308527,0.118097234,11455.66545,885.5141089,,0.863566141,0.188427245,10678.63871,1132.750572
0.716674837,0.138079559,11433.69906,589.0668481,,0.950865115,0.104310948,10362.50614,1611.736762
0.770393832,0.148228963,11429.03479,815.6779671,,0.686615561,0.052740475,8635.011619,1146.918933
0.806905188,0.135485131,11395.94854,996.4079518,,0.539606383,0.119394392,8369.101808,749.6520079
0.714354084,0.113740938,11361.85728,694.5885034,,0.600888161,0.280881442,7524.338227,733.4818844
0.741980908,0.155960094,11352.33284,690.2604512,,0.381679508,0.009020434,7171.519732,1306.684315
0.825641092,0.122463821,11298.7087,1112.119088,,0.402121701,0.010460761,6825.61392,1326.963178
0.780998455,0.101562285,11202.9794,1033.822564,,0.411696236,0.011328607,6665.304969,1307.889506
0.718689779,0.162635602,11197.13222,606.3354568,,0.499053838,0.007839351,5548.046774,1643.185997
0.666099834,0.11999909,11056.86081,537.1365683,,0.869260206,0.021683693,5247.995799,1706.975759
0.67955981,0.10591209,11042.02422,678.8483157,,0.930256382,0.008372157,3660.117872,2315.248643
0.861437308,0.154836582,11040.1264,1176.381859,,0.13564246,0.009256939,2623.862392,791.0128601
0.743733707,0.093150049,11017.58045,966.9356055,,0.082857759,0.009834368,938.363487,1284.920058
0.810239315,0.094051785,10945.73566,1192.493673,,0.05247748,0.006089106,886.6989415,1775.748036
0.899447681,0.121644012,10867.61261,1390.231152,,0.040678021,0.007531951,568.7175748,1088.912613
0.819146384,0.189191977,10840.92144,984.4899415,,0.075329678,0.01177362,529.1456118,1265.276618
0.938689414,0.101826393,10409.47124,1585.531452,,0.045817287,0.009311043,470.2118115,1341.377838
0.813634406,0.077282279,10340.88072,1319.660455,,0.106684641,0.023715808,310.0658419,661.4035612
0.976739512,0.123450572,10330.6333,1620.953293,,0.006340438,0.696745224,245.168102,710.7645974
0.970342211,0.159427639,10298.31741,1506.701414,,0.00706537,0.503420204,160.2215191,846.7384011
0.638479481,0.091361513,10295.7319,813.7486846,,0.019355137,0.795438326,130.7550588,1321.533696
0.992793252,0.13927409,10222.00165,1618.617607,,0.008250614,0.014667423,55.03563762,1162.886518
0.87008831,0.075702983,10068.37214,1504.758531,,0.044058672,0.016415207,44.65488294,1270.762116
0.952314758,0.082638917,9891.13874,1706.255541,,0.025592133,0.922938834,-16.24738838,491.4551948
0.982867698,0.072531965,9363.745686,1831.03094,,0.05037062,0.382229929,-116.7068772,647.2848919
0.959258076,0.050337118,8242.515929,1871.816577,,0.01440535,0.008632316,-239.9438215,504.5412748
0.396631039,0.005351139,7099.707496,1491.297275,,0.025414396,0.036000064,-338.0446854,832.9328894
0.96857203,0.03571979,6933.372041,1945.219843,,0.039334258,0.049561063,-358.6425871,859.3998742
0.506749479,0.005101838,5555.759691,1949.127533,,0.024526803,0.127438712,-380.9697975,1560.309791
0.973838559,0.007305759,3545.949101,2453.848081,,0.031205726,0.207875773,-383.4383807,1409.495911
