HRP,model,n_train,kernel_plus_noise_min_eig,kernel_plus_noise_max_eig,kernel_plus_noise_condition,noise_standardized_min,noise_standardized_median,noise_standardized_max,train_avg_abs_residual,train_max_abs_residual,train_low_y_residual_mean,train_high_y_residual_mean,train_high_low_residual_ratio,train_latent_std_mean,train_obs_std_mean
1,replicate_inferred,128,0.08761354324987478,55.43970940576516,632.775565846601,0.08761354324987639,0.08761354324987639,0.08761354324987639,460.7562062760339,4170.49234273879,52.34605280207562,869.1663597499921,16.60423877682575,450.10261917850653,1050.5079912437448
1,fixed_sem_raw,32,0.08757920908108802,13.379622436057751,152.77167465248286,1.2635226999984206e-05,0.0001362229964981713,0.2131528321202116,94.16449970374862,630.2925539745929,0.10714081397896624,188.22185859351825,1756.770847666602,234.47137308521178,599.903057129537
1,fixed_sem_shrunk,32,0.09369687295734905,13.425373817867062,143.28518545094147,0.012159693890038108,0.012221487774787201,0.11872979233664392,100.16844573496624,464.6481964681825,21.723862385760334,178.61302908417215,8.22197387888308,418.9003058955893,650.8741852143585
0.01,replicate_inferred,128,0.039811165301636024,41.45006620481641,1041.1668658971164,0.03981116530164201,0.03981116530164201,0.03981116530164201,221.69715513905942,1531.998028410867,47.286887652974634,396.10742262514424,8.376686271510758,213.30530477602798,483.59578604880573
0.01,fixed_sem_raw,32,0.10166409533051105,10.606184865570949,104.32576841499578,4.148094072065603e-05,0.0007542406580802539,0.10344361456693853,38.72953057691412,487.19021611672906,0.46092523793137063,76.99813591589687,167.05124731608097,133.42809989751723,280.7926577312138
0.01,fixed_sem_shrunk,32,0.10862465002643958,10.468039733101747,96.36891562415892,0.005215135396327742,0.005571515255007541,0.056916202209436675,34.67068630308608,297.62092860077064,8.186791095038721,61.154581511133436,7.469908637120805,198.48616388946925,300.6841682937447
0.0001,replicate_inferred,128,0.0356807640419165,12.35907085772115,346.3790978018898,0.035680764041917945,0.035680764041917945,0.035680764041917945,41.498316690834116,151.23489042076272,29.780780310893157,53.21585307077507,1.7869193659546212,29.211077556563097,65.65729622614496
0.0001,fixed_sem_raw,32,0.32120276887156446,3.036247133174761,9.452742714023206,0.0006064925004657105,0.005913549978118412,0.040792390158263137,3.147340579993103,17.41404904955948,1.4698511624148578,4.8248299975713484,3.282529633574944,26.411099766378598,41.01763269945873
0.0001,fixed_sem_shrunk,32,0.32141355092529933,3.0584114484133,9.515502503266001,0.004936615697283219,0.00759014443610957,0.025029564526181936,3.187342509683516,10.818888636737256,2.428075257484827,3.946609761882205,1.6254066877524973,28.93681199459885,41.841827744505565
