additive,main_beta,main_score_pos,main_rank,inter_topk_avg,inter_rank,pos_interactions,neg_interactions,zero_interactions,borda_score,selected6
paa,0.861355002,0.861355002,4,0.095308518,1,4,7,10,5,TRUE
fe2,1.357368101,1.357368101,1,0.005153282,9,1,7,13,10,TRUE
peg200k,0.886218926,0.886218926,3,0.012312965,8,1,6,14,11,TRUE
bsa,0.795447847,0.795447847,5,0.000626433,11,1,9,11,16,TRUE
etoh,0.640281043,0.640281043,9,0,13,0,10,11,22,TRUE
peg20k,0.529962638,0.529962638,13,0.000626433,11,1,6,14,24,TRUE
mn2,1.276667449,1.276667449,2,0,13,0,7,14,15,FALSE
tw20,0.74889013,0.74889013,6,0,13,0,6,15,19,FALSE
peg400,0.668468943,0.668468943,7,0,13,0,5,16,20,FALSE
sucrose,0.444907397,0.444907397,14,0.025701672,6,4,7,10,20,FALSE
tw80,0.666389124,0.666389124,8,0,13,0,7,14,21,FALSE
imidazole,-0.586954181,0,19,0.086947688,2,4,15,2,21,FALSE
edta,-0.31003485,0,19,0.082079289,3,6,13,2,22,FALSE
pl127,0.618641745,0.618641745,10,0,13,0,7,14,23,FALSE
mgcl2,-0.003419889,0,19,0.061989764,4,4,13,4,23,FALSE
peg5k,0.573553257,0.573553257,11,0,13,0,4,17,24,FALSE
cacl2,-0.00364189,0,19,0.044075319,5,3,14,4,24,FALSE
pva,0.538045295,0.538045295,12,0,13,0,9,12,25,FALSE
tx100,0.327702492,0.327702492,15,0.000698554,10,1,5,15,25,FALSE
zn2,0.079249882,0.079249882,18,0.025640135,7,2,3,16,25,FALSE
dmso,0.296610941,0.296610941,16,0,13,0,8,13,29,FALSE
glycerol,0.193905782,0.193905782,17,0,13,0,10,11,30,FALSE
