seed,rows_after_filters,target_mean,target_std,target_min,target_max,active_count_dist,rows_any_additive_gt_encoding_hi,additive_gt_encoding_hi_counts,raw_rows,unique_encoded_rows,duplicates_merged,encoded_dim,n_additives
0,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
1,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
2,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
3,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
4,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
5,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
6,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
7,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
8,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
9,461,85428.2827853377,26014.563565290526,-52.12563452,151518.1277267,"{""0"": 32, ""1"": 198, ""2"": 231}",0,{},461,446,15,46,22
